Events,EName,Start,Stop,peak,GOES Class,Derived Position
5,gev_20190507_0452,2019/05/07 04:52:00,05:00:00,04:57:00,B3.4
6,gev_20190507_0718,2019/05/07 07:18:00,07:27:00,07:25:00,B3.1
7,gev_20190507_0837,2019/05/07 08:37:00,08:44:00,08:41:00,B2.0
8,gev_20190507_0918,2019/05/07 09:18:00,09:25:00,09:23:00,B5.0
9,gev_20190507_0929,2019/05/07 09:29:00,09:39:00,09:35:00,B8.0
10,gev_20190507_0951,2019/05/07 09:51:00,10:58:00,10:47:00,C1.2
11,gev_20190507_1110,2019/05/07 11:10:00,11:49:00,11:27:00,B8.2
12,gev_20190507_1152,2019/05/07 11:52:00,12:02:00,11:56:00,C1.4
13,gev_20190507_1329,2019/05/07 13:29:00,13:38:00,13:33:00,B3.4
14,gev_20190507_1330,2019/05/07 13:30:00,13:38:00,13:33:00,B3.2
15,gev_20190507_1854,2019/05/07 18:54:00,22:30:00,20:02:00,B2.1
16,gev_20190508_0254,2019/05/08 02:54:00,04:50:00,03:54:00,B4.2
17,gev_20190508_2121,2019/05/08 21:21:00,21:37:00,21:27:00,B1.9
18,gev_20190508_2345,2019/05/08 23:45:00,00:08:00,23:59:00,B2.4
19,gev_20190509_0540,2019/05/09 05:40:00,05:56:00,05:51:00,C6.7
20,gev_20190510_0839,2019/05/10 08:39:00,08:56:00,08:47:00,B2.0
1,gev_20190506_2216,2019/05/06 22:16:00,22:39:00,22:31:00,B4.8
2,gev_20190506_2310,2019/05/06 23:10:00,23:16:00,23:13:00,B7.6
3,gev_20190506_2350,2019/05/06 23:50:00,23:55:00,23:53:00,B3.4
4,gev_20190507_0138,2019/05/07 01:38:00,01:48:00,01:45:00,B6.5
5,gev_20190507_0343,2019/05/07 03:43:00,03:52:00,03:47:00,B2.4
6,gev_20190507_0452,2019/05/07 04:52:00,05:00:00,04:57:00,B3.4
7,gev_20190507_0718,2019/05/07 07:18:00,07:27:00,07:25:00,B3.1
8,gev_20190507_0837,2019/05/07 08:37:00,08:44:00,08:41:00,B2.0
9,gev_20190507_0918,2019/05/07 09:18:00,09:25:00,09:23:00,B5.0
10,gev_20190507_0929,2019/05/07 09:29:00,09:39:00,09:35:00,B8.0
11,gev_20190507_0951,2019/05/07 09:51:00,10:58:00,10:47:00,C1.2
12,gev_20190507_1110,2019/05/07 11:10:00,11:49:00,11:27:00,B8.2
13,gev_20190507_1152,2019/05/07 11:52:00,12:02:00,11:56:00,C1.4
14,gev_20190507_1329,2019/05/07 13:29:00,13:38:00,13:33:00,B3.4
15,gev_20190507_1330,2019/05/07 13:30:00,13:38:00,13:33:00,B3.2
16,gev_20190507_1854,2019/05/07 18:54:00,22:30:00,20:02:00,B2.1
17,gev_20190508_0254,2019/05/08 02:54:00,04:50:00,03:54:00,B4.2
18,gev_20190508_2121,2019/05/08 21:21:00,21:37:00,21:27:00,B1.9
19,gev_20190508_2345,2019/05/08 23:45:00,00:08:00,23:59:00,B2.4
20,gev_20190509_0540,2019/05/09 05:40:00,05:56:00,05:51:00,C6.7
1,gev_20190506_1941,2019/05/06 19:41:00,19:52:00,19:50:00,C1.0
2,gev_20190506_2012,2019/05/06 20:12:00,20:17:00,20:15:00,B2.5
3,gev_20190506_2039,2019/05/06 20:39:00,20:45:00,20:43:00,B3.4
4,gev_20190506_2216,2019/05/06 22:16:00,22:39:00,22:31:00,B4.8
5,gev_20190506_2310,2019/05/06 23:10:00,23:16:00,23:13:00,B7.6
6,gev_20190506_2350,2019/05/06 23:50:00,23:55:00,23:53:00,B3.4
7,gev_20190507_0138,2019/05/07 01:38:00,01:48:00,01:45:00,B6.5
8,gev_20190507_0343,2019/05/07 03:43:00,03:52:00,03:47:00,B2.4
9,gev_20190507_0452,2019/05/07 04:52:00,05:00:00,04:57:00,B3.4
10,gev_20190507_0718,2019/05/07 07:18:00,07:27:00,07:25:00,B3.1
11,gev_20190507_0837,2019/05/07 08:37:00,08:44:00,08:41:00,B2.0
12,gev_20190507_0918,2019/05/07 09:18:00,09:25:00,09:23:00,B5.0
13,gev_20190507_0929,2019/05/07 09:29:00,09:39:00,09:35:00,B8.0
14,gev_20190507_0951,2019/05/07 09:51:00,10:58:00,10:47:00,C1.2
15,gev_20190507_1110,2019/05/07 11:10:00,11:49:00,11:27:00,B8.2
