harpnum,t_rec,totusjh,totusjz,absnjzh,savncpp,usflux,area_acr,meangam,meangbt,meangbz,meangbh,meanjzh,meanjzd,latdtmin,latdtmax,londtmin,londtmax,harpnum,t_rec,totbsq,totfz,epsz,totfy,totfx,epsy,epsx
2414,2013.02.02_11:00:00_TAI,116.355,1718957000000.0,4.86,190155000000.0,2.118203e+21,78.067009,50.013,83.743,84.393,55.115,-0.00184099,0.12423547,24.7293,33.915199,50.6105,66.269402,2414,2013.02.02_11:00:00_TAI,7987400000.0,-1226.3,-0.2912,-182.14,-1285.8,0.0216,0.1527
2414,2013.02.02_12:00:00_TAI,119.33,1874678000000.0,4.803,293382000000.0,2.149345e+21,74.438431,50.528,83.273,84.982,53.264,-0.00170082,0.20327935,24.7293,33.915199,51.1563,66.815201,2414,2013.02.02_12:00:00_TAI,7673300000.0,-1165.0,-0.288,-183.66,-1173.6,0.0227,0.1451
2414,2013.02.02_13:00:00_TAI,112.338,1709469000000.0,2.299,271085000000.0,2.094961e+21,74.729713,50.958,82.66,82.409,51.689,-0.00085299,0.19684249,24.7293,33.915199,51.702,67.361,2414,2013.02.02_13:00:00_TAI,7444500000.0,-1154.9,-0.2943,-186.4,-1157.5,0.0237,0.1475
2414,2013.02.02_14:00:00_TAI,110.529,1581562000000.0,0.747,272520800000.0,2.120516e+21,74.1017,49.528,84.61,84.797,52.458,-0.00028385,0.2027221,24.7293,33.915199,52.247799,67.906799,2414,2013.02.02_14:00:00_TAI,7403400000.0,-1170.8,-0.3,-184.63,-1123.7,0.0237,0.144
2414,2013.02.02_15:00:00_TAI,105.725,1639511000000.0,2.297,145207100000.0,2.148616e+21,73.963799,49.37,80.214,81.688,51.693,0.00083713,0.10357994,24.7293,33.915199,52.793598,68.452599,2414,2013.02.02_15:00:00_TAI,7457400000.0,-1178.2,-0.2997,-185.68,-1114.4,0.0236,0.1417
2414,2013.02.02_16:00:00_TAI,105.584,1559824000000.0,1.539,122461200000.0,2.040643e+21,75.259308,50.568,79.282,80.601,52.796,0.00059289,0.09237994,24.7293,33.915199,53.339401,68.998398,2414,2013.02.02_16:00:00_TAI,7679300000.0,-1190.5,-0.2941,-142.35,-1151.6,0.0176,0.1422
2414,2013.02.02_17:00:00_TAI,106.381,1590351000000.0,2.611,132737000000.0,2.053438e+21,75.197777,51.854,80.622,81.06,52.633,0.00101558,0.08220256,24.7293,33.915199,53.885201,69.544098,2414,2013.02.02_17:00:00_TAI,7897000000.0,-1275.3,-0.3063,-131.73,-1208.8,0.0158,0.1452
2414,2013.02.02_18:00:00_TAI,116.353,1739328000000.0,0.025,250511800000.0,2.170282e+21,75.595001,50.637,79.787,81.441,51.634,8.83e-06,0.17367707,24.7293,33.915199,54.431,70.089897,2414,2013.02.02_18:00:00_TAI,7786800000.0,-1352.9,-0.3296,-180.92,-1174.0,0.022,0.143
2414,2013.02.02_19:00:00_TAI,115.758,1685409000000.0,0.337,221531900000.0,2.170382e+21,73.840401,49.455,80.167,82.406,50.355,0.00012256,0.15755111,24.7293,33.915199,54.976799,70.635696,2414,2013.02.02_19:00:00_TAI,7632300000.0,-1346.6,-0.3347,-243.15,-1113.8,0.0302,0.1384
2414,2013.02.02_20:00:00_TAI,108.012,1561708000000.0,3.63,19731440000.0,2.130169e+21,75.282356,51.12,77.053,77.746,48.828,0.00130529,0.01389144,24.7293,33.915199,55.522598,71.181503,2414,2013.02.02_20:00:00_TAI,7813700000.0,-1272.6,-0.3089,-201.64,-1142.0,0.0245,0.1386
