,0,1,2,3,4,5
0,harpnum,,noaa_ars,latdtmin,londtmin,latdtmax,londtmax
0,1,11067,20.513599,-0.1238,28.4676,17.270399
0,1,11067,20.513599,0.4274,28.4676,17.8216
0,1,11067,20.513599,0.9786,28.4676,18.372801
0,1,11067,20.513599,1.5298,28.4676,18.924
0,1,11067,20.513599,2.081,28.4676,19.475201
0,1,11067,20.513599,2.6322,28.4676,20.0263
0,1,11067,20.513599,3.1834,28.4676,20.577499
0,1,11067,20.513599,3.7346,28.4676,21.1287
0,1,11067,20.513599,4.2858,28.4676,21.679899
0,1,11067,20.513599,4.8369,28.4676,22.2311
0,1,11067,20.513599,5.3881,28.4676,22.782301
0,1,11067,20.513599,5.9393,28.4676,23.3335
0,1,11067,20.513599,6.4905,28.4676,23.884701
0,1,11067,20.513599,7.0417,28.4676,24.4359
0,1,11067,20.513599,7.5929,28.4676,24.987101
0,1,11067,20.513599,8.1441,28.4676,25.5382
0,1,11067,20.513599,8.6953,28.4676,26.089399
0,1,11067,20.513599,9.2465,28.4676,26.6406
0,1,11067,20.513599,9.7977,28.4676,27.191799
0,1,11067,20.513599,10.3488,28.4676,27.743
0,1,11067,20.513599,10.9,28.4676,28.294201
0,1,11067,20.513599,11.4512,28.4676,28.8454
0,1,11067,20.513599,12.0024,28.4676,29.396601
0,1,11067,20.513599,12.5536,28.4676,29.9478
0,1,11067,20.513599,13.1048,28.4676,30.498899
0,1,11067,20.513599,13.656,28.4676,31.0501
0,1,11067,20.513599,14.2072,28.4676,31.601299
0,1,11067,20.513599,14.7584,28.4676,32.1525
0,1,11067,20.513599,15.3096,28.4676,32.703701
0,1,11067,20.513599,15.8607,28.4676,33.254902
0,1,11067,20.513599,16.4119,28.4676,33.806099
0,1,11067,20.513599,16.9631,28.4676,34.3573
0,1,11067,20.513599,17.514299,28.4676,34.908501
0,1,11067,20.513599,18.0655,28.4676,35.459702
0,1,11067,20.513599,18.616699,28.4676,36.010799
0,1,11067,20.513599,19.1679,28.4676,36.562
0,1,11067,20.513599,19.719101,28.4676,37.113201
0,1,11067,20.513599,20.2703,28.4676,37.664398
0,1,11067,20.513599,20.821501,28.4676,38.215599
0,1,11067,20.513599,21.372601,28.4676,38.7668
0,1,11067,20.513599,21.9238,28.4676,39.318001
0,1,11067,20.513599,22.475,28.4676,39.869202
0,1,11067,20.513599,23.026199,28.4676,40.420399
0,1,11067,20.513599,23.5774,28.4676,40.9716
0,1,11067,20.513599,24.128599,28.4676,41.522701
0,1,11067,20.513599,24.6798,28.4676,42.073898
0,1,11067,20.513599,25.231001,28.4676,42.625099
0,1,11067,20.513599,25.7822,28.4676,43.1763
0,1,11067,20.513599,26.3333,28.4676,43.727501
0,1,11067,20.513599,26.884501,28.4676,44.278702
0,1,11067,20.513599,27.435699,28.4676,44.829899
0,1,11067,20.513599,27.9869,28.4676,45.3811
0,1,11067,20.513599,28.538099,28.4676,45.932301
0,1,11067,20.513599,29.0893,28.4676,46.483501
0,1,11067,20.513599,29.640499,28.4676,47.034599
0,1,11067,20.513599,30.1917,28.4676,47.5858
