harp_num,t_rec,noaa_num,latdtmin,londtmin,latdtmax,londtmax
12,2010.05.06_04:00:00_TAI,11068,-23.5504,-57.2118,-16.6392,-41.334099
12,2010.05.03_16:00:00_TAI,11068,-23.5504,-90.601501,-16.6392,-74.723801
12,2010.05.10_01:00:00_TAI,11068,-23.5504,-5.4577,-16.6392,10.42
12,2010.05.05_11:00:00_TAI,11068,-23.5504,-66.672203,-16.6392,-50.794498
12,2010.05.10_00:00:00_TAI,11068,-23.5504,-6.0142,-16.6392,9.8635
12,2010.05.09_23:00:00_TAI,11068,-23.5504,-6.5707,-16.6392,9.307
12,2010.05.03_07:00:00_TAI,11068,-23.5504,-95.609901,-16.6392,-79.732201
12,2010.05.09_22:00:00_TAI,11068,-23.5504,-7.1272,-16.6392,8.7505
12,2010.05.05_07:00:00_TAI,11068,-23.5504,-68.898201,-16.6392,-53.0205
12,2010.05.09_21:00:00_TAI,11068,-23.5504,-7.6837,-16.6392,8.194
12,2010.05.10_20:00:00_TAI,11068,-23.5504,5.1157,-16.6392,20.993401
12,2010.05.03_08:00:00_TAI,11068,-23.5504,-95.053398,-16.6392,-79.175697
12,2010.05.09_20:00:00_TAI,11068,-23.5504,-8.2402,-16.6392,7.6375
12,2010.05.10_21:00:00_TAI,11068,-23.5504,5.6722,-16.6392,21.5499
12,2010.05.09_19:00:00_TAI,11068,-23.5504,-8.7967,-16.6392,7.081
12,2010.05.09_18:00:00_TAI,11068,-23.5504,-9.3532,-16.6392,6.5245
12,2010.05.09_17:00:00_TAI,11068,-23.5504,-9.9097,-16.6392,5.968
12,2010.05.10_02:00:00_TAI,11068,-23.5504,-4.9012,-16.6392,10.9765
12,2010.05.10_03:00:00_TAI,11068,-23.5504,-4.3447,-16.6392,11.533
12,2010.05.10_04:00:00_TAI,11068,-23.5504,-3.7882,-16.6392,12.0895
12,2010.05.10_05:00:00_TAI,11068,-23.5504,-3.2317,-16.6392,12.646
12,2010.05.10_18:00:00_TAI,11068,-23.5504,4.0027,-16.6392,19.8804
12,2010.05.10_17:00:00_TAI,11068,-23.5504,3.4462,-16.6392,19.3239
12,2010.05.05_09:00:00_TAI,11068,-23.5504,-67.785202,-16.6392,-51.907501
12,2010.05.10_16:00:00_TAI,11068,-23.5504,2.8897,-16.6392,18.767401
12,2010.05.10_15:00:00_TAI,11068,-23.5504,2.3332,-16.6392,18.210899
12,2010.05.10_14:00:00_TAI,11068,-23.5504,1.7767,-16.6392,17.6544
