Events,EName,Start,Stop,peak,GOES Class,Derived Position,flare_24h,longitude
11,gev_20151228_1120,2015-12-28 11:20:00,15:00:00,12:45:00,M1.9,S23W11(2473),0,0
14,gev_20151228_1120,2015-12-28 11:20:00,15:00:00,12:45:00,M1.9,S23W11(2473),0,0
4,gev_20151224_0149,2015-12-24 01:49:00,02:22:00,02:12:00,M1.1,S21E50(2473),0,0
4,gev_20151223_0023,2015-12-23 00:23:00,00:52:00,00:40:00,M4.7,S21E65(2473),0,0
8,gev_20151224_0149,2015-12-24 01:49:00,02:22:00,02:12:00,M1.1,S21E50(2473),0,0
7,gev_20151222_0315,2015-12-22 03:15:00,03:48:00,03:34:00,M1.6,S22E77(2473),0,0
13,gev_20151223_0023,2015-12-23 00:23:00,00:52:00,00:40:00,M4.7,S21E65(2473),0,0
17,gev_20151224_0149,2015-12-24 01:49:00,02:22:00,02:12:00,M1.1,S21E50(2473),0,0
1,gev_20151221_1009,2015-12-21 10:09:00,10:32:00,10:19:00,M1.1,N01E81(2472),0,0
9,gev_20151222_0315,2015-12-22 03:15:00,03:48:00,03:34:00,M1.6,S22E77(2473),0,0
15,gev_20151223_0023,2015-12-23 00:23:00,00:52:00,00:40:00,M4.7,S21E65(2473),0,0
19,gev_20151224_0149,2015-12-24 01:49:00,02:22:00,02:12:00,M1.1,S21E50(2473),0,0
5,gev_20151221_1009,2015-12-21 10:09:00,10:32:00,10:19:00,M1.1,N01E81(2472),0,0
13,gev_20151222_0315,2015-12-22 03:15:00,03:48:00,03:34:00,M1.6,S22E77(2473),0,0
19,gev_20151223_0023,2015-12-23 00:23:00,00:52:00,00:40:00,M4.7,S21E65(2473),0,0
6,gev_20151221_0052,2015-12-21 00:52:00,01:11:00,01:03:00,M2.8,N01E81(2472),0,0
12,gev_20151221_1009,2015-12-21 10:09:00,10:32:00,10:19:00,M1.1,N01E81(2472),0,0
20,gev_20151222_0315,2015-12-22 03:15:00,03:48:00,03:34:00,M1.6,S22E77(2473),0,0
14,gev_20151221_0052,2015-12-21 00:52:00,01:11:00,01:03:00,M2.8,N01E81,0,0
20,gev_20151221_1009,2015-12-21 10:09:00,10:32:00,10:19:00,M1.1,N01E81,0,0
1,gev_20151109_1249,2015-11-09 12:49:00,13:28:00,13:12:00,M3.9,S13E39(2449),0,0
2,gev_20151109_1249,2015-11-09 12:49:00,13:28:00,13:12:00,M3.9,S13E39(2449),0,0
5,gev_20151109_1249,2015-11-09 12:49:00,13:28:00,13:12:00,M3.9,S13E39(2449),0,0
10,gev_20151109_1249,2015-11-09 12:49:00,13:28:00,13:12:00,M3.9,S13E39(2449),0,0
12,gev_20151109_1249,2015-11-09 12:49:00,13:28:00,13:12:00,M3.9,S13E39(2449),0,0
15,gev_20151109_1249,2015-11-09 12:49:00,13:28:00,13:12:00,M3.9,S13E39(2449),0,0
5,gev_20151104_1155,2015-11-04 11:55:00,12:06:00,12:01:00,M2.5,N15W72(2445),0,0
6,gev_20151104_1331,2015-11-04 13:31:00,14:13:00,13:52:00,M3.7,N08W02(2443),0,0
5,gev_20151104_1155,2015-11-04 11:55:00,12:06:00,12:03:00,M2.5,N15W71(2445),0,0
1,gev_20151104_0320,2015-11-04 03:20:00,03:29:00,03:26:00,M1.9,N14W66(2445),0,0
7,gev_20151104_1155,2015-11-04 11:55:00,12:06:00,12:03:00,M2.5,N15W71(2445),0,0
8,gev_20151104_1331,2015-11-04 13:31:00,14:13:00,13:52:00,M3.7,N08W02(2443),0,0
11,gev_20151104_0320,2015-11-04 03:20:00,03:29:00,03:25:00,M1.9,N14W66(2445),0,0
17,gev_20151104_1155,2015-11-04 11:55:00,12:06:00,12:01:00,M2.5,N15W72(2445),0,0
18,gev_20151104_1331,2015-11-04 13:31:00,14:13:00,13:52:00,M3.7,N08W02(2443),0,0
12,gev_20151104_0320,2015-11-04 03:20:00,03:29:00,03:25:00,M1.9,N14W66(2445),0,0
18,gev_20151104_1155,2015-11-04 11:55:00,12:06:00,12:03:00,M2.5,N15W71(2445),0,0
19,gev_20151104_1331,2015-11-04 13:31:00,14:13:00,13:52:00,M3.7,N08W02(2443),0,0
15,gev_20151104_0320,2015-11-04 03:20:00,03:29:00,03:25:00,M1.9,N14W66(2445),0,0
6,gev_20151031_1748,2015-10-31 17:48:00,17:55:00,17:52:00,M1.0,N06E53(2443),0,0
1,gev_20151017_2035,2015-10-17 20:35:00,20:46:00,20:42:00,M1.5,S19E79(2437),0,0
9,gev_20151017_2009,2015-10-17 20:09:00,20:28:00,20:23:00,M1.1,S18E79(2437),0,0
10,gev_20151017_2035,2015-10-17 20:35:00,20:46:00,20:42:00,M1.5,S19E79(2437),0,0
