,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,t_rec,totusjh,totusjz,absnjzh,savncpp,usflux,area_acr,meangam,meangbt,meangbz,meangbh,meanjzh,meanjzd,totbsq,totfz,epsz,totfy,totfx,epsy,epsx
0,2010.05.01_09:00:00_TAI,292.488,5820488000000.0,9.087,962393200000.0,6.673747e+21,53.695072,25.695,68.5,78.485,31.714,0.00086014,-0.17055374,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,2010.05.01_10:00:00_TAI,289.413,5887962000000.0,12.989,626196800000.0,6.255201e+21,60.89296,25.879,69.278,74.743,32.405,0.00133833,-0.11682279,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,2010.05.01_11:00:00_TAI,274.495,5415848000000.0,7.607,792377800000.0,6.180089e+21,67.7145,23.581,70.881,77.588,31.7,-0.00081668,-0.15928073,9100500000.0,-2350.1,-0.4899,189.64,1146.3,-0.0198,-0.1195
0,2010.05.01_12:00:00_TAI,263.431,5041179000000.0,9.291,934913500000.0,5.785536e+21,66.219543,23.76,75.801,82.596,32.039,-0.00107385,-0.2023322,9016500000.0,-2353.7,-0.4952,118.6,1149.6,-0.0125,-0.1209
0,2010.05.01_13:00:00_TAI,253.22,4940837000000.0,12.627,548647000000.0,5.723588e+21,66.418442,24.983,75.871,82.65,31.577,-0.0014734,-0.11988606,9024400000.0,-2320.7,-0.4878,58.577,1253.4,-0.0062,-0.1317
0,2010.05.01_14:00:00_TAI,253.948,4860817000000.0,1.101,700261400000.0,5.827622e+21,68.236092,23.887,73.347,77.564,31.354,0.00012743,-0.1518264,9014300000.0,-2479.7,-0.5218,62.917,1198.9,-0.0066,-0.1261
0,2010.05.01_15:00:00_TAI,273.057,5533248000000.0,37.648,2530469000000.0,5.834124e+21,69.365669,25.72,75.065,84.521,33.254,-0.00417611,-0.42734423,8833900000.0,-2481.7,-0.5329,7.4336,1295.3,-0.0008,-0.1391
0,2010.05.01_16:00:00_TAI,280.066,6008798000000.0,13.801,1441693000000.0,6.460807e+21,68.85984,25.516,72.606,80.096,32.565,-0.00134708,-0.12483998,8563900000.0,-2551.5,-0.5651,-59.242,1214.8,0.0066,-0.1345
0,2010.05.01_17:00:00_TAI,256.065,5308995000000.0,4.029,711837200000.0,6.305895e+21,70.270248,25.001,71.315,74.87,31.791,-0.00040772,-0.13494682,8296500000.0,-2398.0,-0.5483,-85.505,1163.9,0.0098,-0.1331
0,2010.05.01_18:00:00_TAI,259.476,5119532000000.0,6.862,805114000000.0,6.619083e+21,74.325577,24.047,70.736,73.184,30.342,-0.00068006,-0.14948323,8252700000.0,-2331.1,-0.5358,-95.852,1172.7,0.011,-0.1348
0,2010.05.01_19:00:00_TAI,253.312,5081641000000.0,14.89,1220466000000.0,6.406253e+21,74.997597,23.171,73.668,77.139,32.177,-0.00158865,-0.19088291,8801600000.0,-2419.6,-0.5215,-93.575,1292.6,0.0101,-0.1393
0,2010.05.01_20:00:00_TAI,291.166,5857718000000.0,5.198,951486100000.0,6.991547e+21,67.305458,23.729,77.666,81.204,33.244,-0.00050619,-0.17357944,9284200000.0,-2702.9,-0.5522,-179.38,1470.6,0.0183,-0.1502
0,2010.05.01_21:00:00_TAI,269.468,5495542000000.0,4.519,504797000000.0,7.032777e+21,67.399628,23.915,72.456,75.248,30.998,-0.00042292,-0.08847088,9025100000.0,-2675.4,-0.5623,-218.73,1430.6,0.023,-0.1503
0,2010.05.01_22:00:00_TAI,270.797,5493063000000.0,13.728,409973900000.0,7.019986e+21,70.921402,24.836,71.008,74.107,30.128,-0.00124773,-0.06978642,8826900000.0,-2599.5,-0.5586,-199.41,1408.4,0.0214,-0.1513
0,2010.05.01_23:00:00_TAI,291.343,5910118000000.0,21.048,1559659000000.0,7.115367e+21,86.298378,25.706,73.301,77.86,31.336,-0.00189845,-0.26339173,8891700000.0,-2582.5,-0.5509,-190.02,1429.7,0.0203,-0.1525
